I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-24, -19, 4, 21, -14, -7, -244, 43, -24, -58, -48, -34, 
-53, -24, 29, 39, -41, 2, -244, 29, -39, -73, -68, -48, 
-19, -4, 14, 12, -17, 4, -248, 29, -39, -78, -58, -43, 
39, 39, 0, -39, 19, 19, -244, 39, -34, -63, -43, -29, 
14, 29, 14, -21, 0, 21, -263, 14, -63, -82, -68, -53, 
-14, 4, 19, 4, -17, 12, -258, 4, -73, -87, -78, -58, 
24, 9, -14, -17, 19, -2, -258, 14, -73, -87, -78, -58, 
14, -4, -19, -4, 17, -12, -253, 9, -68, -82, -82, -58, 
0, -14, -14, 7, 7, -14, -244, 24, -53, -78, -68, -48, 
-9, -14, -4, 12, -2, -9, -229, 24, -53, -92, -63, -48, 
0, -4, -4, 2, 2, -4, -219, 43, -39, -87, -63, -34, 
9, 9, 0, -9, 4, 4, -229, 29, -48, -102, -68, -48, 
-9, -19, -9, 14, 0, -14, -234, 39, -43, -102, -58, -39, 
-4, -19, -14, 12, 4, -17, -224, 39, -48, -92, -53, -24, 
-39, -39, 0, 39, -19, -19, -219, 29, -48, -87, -53, -39, 
-68, -34, 34, 51, -51, 0, -214, 34, -53, -78, -43, -34, 
-48, -34, 14, 41, -31, -9, -219, 19, -78, -117, -92, -68, 
-19, -14, 4, 17, -12, -4, -214, 19, -63, -102, -78, -58, 
39, 29, -9, -34, 24, 9, -219, 24, -68, -102, -78, -53, 
4, -4, -9, 0, 7, -7, -209, 24, -82, -131, -97, -78, 
-39, -34, 4, 36, -21, -14, -200, 29, -63, -117, -87, -58, 
-58, -58, 0, 58, -29, -29, -209, 9, -92, -141, -117, -73, 
-58, -78, -19, 68, -19, -48, -209, 24, -73, -131, -92, -53, 
-53, -63, -9, 58, -21, -36, -195, 24, -68, -126, -78, -48, 
-97, -92, 4, 95, -51, -43, -200, 29, -82, -136, -97, -58, 
-107, -102, 4, 104, -56, -48, -214, 14, -92, -131, -87, -63, 
-97, -117, -19, 107, -39, -68, -219, -14, -131, -185, -136, -107, 
-87, -102, -14, 95, -36, -58, -209, 14, -97, -170, -117, -87, 
-39, -48, -9, 43, -14, -29, -200, 19, -97, -170, -112, -78, 
-34, -63, -29, 48, -2, -46, -209, 0, -122, -204, -136, -107, 
-48, -63, -14, 56, -17, -39, -209, 9, -92, -180, -107, -78, 
-39, -53, -14, 46, -12, -34, -195, 29, -97, -195, -117, -78, 
-48, -68, -19, 58, -14, -43, -185, 43, -73, -175, -87, -63, 
-58, -68, -9, 63, -24, -39, -190, 34, -82, -180, -97, -68, 
-92, -87, 4, 90, -48, -41, -195, 29, -92, -190, -102, -73, 
-58, -48, 9, 53, -34, -19, -185, 43, -68, -165, -73, -43, 
-19, -39, -19, 29, 0, -29, -190, 39, -92, -190, -112, -68, 
-68, -68, 0, 68, -34, -34, -185, 29, -92, -180, -112, -92, 
-43, -39, 4, 41, -24, -17, -204, 4, -122, -214, -131, -112, 
24, 0, -24, -12, 24, -12, -200, 24, -112, -219, -122, -102, 
19, 9, -9, -14, 14, 0, -180, 39, -82, -185, -97, -73, 
-14, -24, -9, 19, -2, -17, -185, 9, -107, -214, -131, -97, 
-34, -39, -4, 36, -14, -21, -170, 34, -78, -175, -87, -68, 
-39, -39, 0, 39, -19, -19, -161, 39, -87, -180, -92, -58, 
-53, -58, -4, 56, -24, -31, -180, 29, -97, -190, -107, -87, 
-78, -68, 9, 73, -43, -29, -170, 34, -87, -170, -92, -68, 
-82, -82, 0, 82, -41, -41, -185, 9, -112, -190, -122, -97, 
-34, -29, 4, 31, -19, -12, -180, 24, -92, -165, -102, -82, 
24, 4, -19, -14, 21, -7, -185, 24, -92, -175, -107, -92, 
14, -4, -19, -4, 17, -12, -185, 19, -107, -190, -131, -102, 
0, -14, -14, 7, 7, -14, -161, 34, -78, -170, -97, -82, 
-14, -34, -19, 24, 2, -26, -156, 19, -92, -170, -112, -92, 
-24, -43, -19, 34, -2, -31, -156, 39, -68, -156, -92, -58, 
-14, -43, -29, 29, 7, -36, -151, 34, -78, -151, -102, -63, 
-63, -87, -24, 75, -19, -56, -165, 24, -112, -170, -112, -92, 
-24, -48, -24, 36, 0, -36, -156, 39, -82, -141, -87, -63, 
39, -9, -48, -14, 43, -29, -165, 19, -112, -170, -122, -92, 
-4, -19, -14, 12, 4, -17, -146, 34, -97, -146, -117, -92, 
-34, -34, 0, 34, -17, -17, -161, 14, -107, -161, -131, -102, 
-63, -78, -14, 70, -24, -46, -185, -9, -131, -190, -161, -126, 
-78, -82, -4, 80, -36, -43, -165, 9, -107, -175, -136, -107, 
-63, -68, -4, 65, -29, -36, -151, 19, -102, -165, -112, -82, 
-43, -43, 0, 43, -21, -21, -136, 43, -78, -156, -107, -73, 
-34, -39, -4, 36, -14, -21, -156, 19, -102, -165, -131, -92, 
-43, -48, -4, 46, -19, -26, -141, 34, -87, -156, -107, -87, 
-43, -43, 0, 43, -21, -21, -151, 24, -107, -170, -141, -112, 
-43, -43, 0, 43, -21, -21, -141, 43, -82, -136, -97, -73, 
-9, -24, -14, 17, 2, -19, -122, 53, -73, -126, -92, -63, 
-29, -39, -9, 34, -9, -24, -136, 34, -78, -126, -102, -73, 
-78, -63, 14, 70, -46, -24, -141, 34, -73, -122, -92, -63, 
-63, -68, -4, 65, -29, -36, -141, 29, -92, -151, -122, -97, 
-78, -68, 9, 73, -43, -29, -136, 29, -82, -122, -102, -73, 
-58, -43, 14, 51, -36, -14, -126, 39, -82, -141, -107, -82, 
-24, -39, -14, 31, -4, -26, -131, 29, -92, -151, -117, -97, 
-73, -73, 0, 73, -36, -36, -126, 29, -97, -136, -117, -97, 
-58, -78, -19, 68, -19, -48, -146, 4, -122, -170, -156, -126, 
0, -39, -39, 19, 19, -39, -126, 39, -82, -126, -102, -82, 
29, -14, -43, -7, 36, -29, -126, 63, -73, -136, -92, -68, 
-9, -48, -39, 29, 14, -43, -126, 43, -73, -136, -97, -73, 
-53, -63, -9, 58, -21, -36, -126, 39, -68, -146, -87, -63, 
-43, -68, -24, 56, -9, -46, -141, 29, -102, -190, -141, -107, 
-63, -87, -24, 75, -19, -56, -122, 34, -92, -170, -112, -82, 
-58, -78, -19, 68, -19, -48, -117, 34, -92, -185, -122, -92, 
-53, -82, -29, 68, -12, -56, -136, 19, -117, -195, -151, -117, 
-87, -87, 0, 87, -43, -43, -117, 29, -97, -165, -131, -97, 
-58, -78, -19, 68, -19, -48, -117, 19, -107, -180, -151, -117, 
-14, -29, -14, 21, 0, -21, -107, 43, -78, -136, -107, -73, 
-24, -34, -9, 29, -7, -21, -112, 39, -92, -146, -117, -87, 
-58, -68, -9, 63, -24, -39, -117, 34, -92, -156, -122, -92, 
-63, -68, -4, 65, -29, -36, -97, 63, -58, -131, -87, -53, 
-24, -43, -19, 34, -2, -31, -107, 43, -73, -156, -117, -82, 
-19, -39, -19, 29, 0, -29, -87, 68, -43, -122, -87, -53, 
-9, -29, -19, 19, 4, -24, -92, 43, -73, -146, -112, -82, 
-19, -48, -29, 34, 4, -39, -102, 39, -97, -161, -136, -102, 
-43, -63, -19, 53, -12, -41, -87, 43, -87, -141, -122, -82, 
-24, -48, -24, 36, 0, -36, -102, 24, -107, -161, -136, -107, 
-14, -34, -19, 24, 2, -26, -87, 53, -68, -126, -92, -73, 
4, -29, -34, 12, 19, -31, -92, 53, -97, -141, -107, -82, 
-24, -53, -29, 39, 2, -41, -102, 39, -97, -141, -122, -87, 
-82, -82, 0, 82, -41, -41, -97, 53, -78, -126, -97, -73, 
-68, -92, -24, 80, -21, -58, -97, 48, -87, -151, -126, -92, 
-58, -78, -19, 68, -19, -48, -92, 53, -73, -131, -97, -63, 
-29, -58, -29, 43, 0, -43, -92, 48, -82, -141, -107, -82, 
-19, -48, -29, 34, 4, -39, -87, 43, -97, -146, -122, -97, 
